cycle,filename,relative_path,url,bytes,sha256,documentation_url
2011-2012,PAXDAY_G.XPT,2011-2012/PAXDAY_G.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAXDAY_G.XPT,6486720,2c2ffafe0896de13658233576661eaf6addc81109aee2b28b2018b940e752079,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PAXDAY_G.htm
2011-2012,NHANES_2011_2012_MORT_2019_PUBLIC.dat,2011-2012/NHANES_2011_2012_MORT_2019_PUBLIC.dat,https://ftp.cdc.gov/pub/health_statistics/NCHS/datalinkage/linked_mortality/NHANES_2011_2012_MORT_2019_PUBLIC.dat,475574,ff98b6c87172643426b1c6d20f76495592bebd618ea18f742d98a44b84456b30,https://www.cdc.gov/nchs/data-linkage/mortality-public.htm
2013-2014,DEMO_H.XPT,2013-2014/DEMO_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.XPT,3833200,f8f0cbb3085a323d4cde22349b164878fea1e64dbc404e65b5815c7816b547d7,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.htm
2013-2014,PAQ_H.XPT,2013-2014/PAQ_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAQ_H.XPT,7297920,fa35acbb489594e8e55350f7402a12b5a607805c28ec16246929d33237bd3269,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAQ_H.htm
2013-2014,BMX_H.XPT,2013-2014/BMX_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BMX_H.XPT,2045520,fd5e9fc6e6aab0a4aee6e699f51497bbc9b62101f7f43aee924c473e38fd9442,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/BMX_H.htm
2013-2014,SMQ_H.XPT,2013-2014/SMQ_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/SMQ_H.XPT,2170000,86d74bb8842ce6d60350944417cbd3e9ee39dd5a9fa1bda33426f276b673861f,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/SMQ_H.htm
2013-2014,MCQ_H.XPT,2013-2014/MCQ_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.XPT,7439280,5c83210e6e1fe929282621322ed0f94d95cdb0a37ccaff36f703ab0b2e7b9dc6,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/MCQ_H.htm
2013-2014,DIQ_H.XPT,2013-2014/DIQ_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DIQ_H.XPT,4228960,c74c7ccef65e6997dfac1db1e73bc3f63dec67c70b2e322ffc14f14ce27429a9,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DIQ_H.htm
2013-2014,PAXDAY_H.XPT,2013-2014/PAXDAY_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAXDAY_H.XPT,7318800,a2938ac350d077091207de706c848461e282984747c83c1f07070f9a04a849f6,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PAXDAY_H.htm
2013-2014,NHANES_2013_2014_MORT_2019_PUBLIC.dat,2013-2014/NHANES_2013_2014_MORT_2019_PUBLIC.dat,https://ftp.cdc.gov/pub/health_statistics/NCHS/datalinkage/linked_mortality/NHANES_2013_2014_MORT_2019_PUBLIC.dat,494268,588acea1d4cdf47a14cc9a35bd56e372739b8788d63ca0af98bf954c70c29905,https://www.cdc.gov/nchs/data-linkage/mortality-public.htm
